Date,Open,High,Low,Close,Adj Close,Volume
2021-02-17,141.300003,144.559998,140.210007,143.990005,142.915344,6437100
2021-02-18,142.979996,145.389999,141.210007,145.089996,144.007126,4486800
2021-02-19,145.429993,145.500000,141.500000,142.020004,140.960068,7486000
2021-02-22,141.539993,142.460007,136.259995,136.669998,135.649979,8985900
2021-02-23,136.029999,136.830002,131.580002,136.130005,135.114029,10364100
2021-02-24,135.059998,135.960007,133.949997,135.649994,134.637589,6360900
2021-02-25,137.600006,139.179993,134.529999,135.539993,134.528412,5674300
2021-02-26,135.899994,136.850006,133.360001,134.779999,134.046066,6650200
2021-03-01,135.639999,139.149994,135.500000,137.649994,136.900436,5717800
2021-03-02,137.559998,138.259995,135.610001,137.020004,136.273865,5292700
2021-03-03,137.089996,137.410004,134.149994,134.259995,133.528885,4888400
2021-03-04,134.000000,135.130005,130.179993,132.039993,131.320969,7181500
2021-03-05,133.539993,133.679993,129.190002,133.350006,132.623856,5957100
2021-03-08,133.639999,135.630005,132.369995,134.559998,133.827271,4983000
2021-03-09,135.509995,138.000000,135.449997,135.949997,135.209671,5977800
2021-03-10,136.500000,138.199997,136.100006,137.589996,136.840759,4519600
2021-03-11,139.179993,142.199997,138.559998,141.190002,140.421173,5696500
2021-03-12,140.000000,140.910004,138.600006,140.449997,139.685165,4143200
2021-03-15,140.699997,145.000000,140.669998,144.940002,144.150757,5413900
2021-03-16,145.880005,146.149994,143.839996,144.649994,143.862320,5623000
2021-03-17,143.199997,146.149994,143.199997,144.820007,144.031403,5134400
2021-03-18,144.369995,146.660004,142.550003,143.169998,142.390366,10188400
2021-03-19,140.000000,142.860001,135.509995,137.490005,136.741318,24980400
2021-03-22,137.630005,138.809998,136.029999,138.270004,137.517059,7537300
2021-03-23,138.490005,140.639999,136.550003,137.119995,136.373322,5582600
2021-03-24,136.449997,137.919998,132.880005,133.160004,132.434906,8157600
2021-03-25,127.050003,129.389999,125.440002,128.639999,127.939491,18475800
2021-03-26,131.600006,133.190002,129.770004,132.990005,132.265823,10010500
2021-03-29,132.940002,133.910004,130.660004,133.490005,132.763092,7153900
2021-03-30,132.350006,133.350006,131.220001,132.949997,132.226013,6026600
2021-03-31,133.089996,134.179993,131.919998,132.889999,132.166367,6878900
2021-04-01,134.690002,134.690002,132.210007,132.529999,131.808319,5720600
2021-04-05,133.100006,135.679993,133.100006,135.119995,134.384216,5508900
2021-04-06,135.440002,137.710007,134.929993,137.160004,136.413101,4670100
2021-04-07,136.990005,138.240005,136.360001,136.539993,135.796463,6646000
2021-04-08,137.279999,137.309998,133.410004,133.679993,132.952057,8748400
2021-04-09,133.940002,135.500000,133.500000,135.449997,134.712402,6056800
2021-04-12,134.750000,136.899994,134.220001,136.639999,135.895920,5638200
2021-04-13,135.600006,135.990005,133.399994,133.539993,132.812805,8778200
